date/time,48hr_snowfall,base_depth,24hr_snowfall
2019-12-20 13:52:36,50.8,106.68,35.56
2019-12-20 13:52:57,50.8,106.68,35.56
2019-12-20 14:00:06,50.8,106.68,35.56
2019-12-20 14:09:41,50.8,106.68,35.56
2019-12-20 14:25:20,50.8,106.68,35.56
2019-12-20 14:50:20,50.8,106.68,35.56
2019-12-20 15:25:20,50.8,106.68,35.56
2019-12-20 15:50:20,50.8,109.22,30.48
2019-12-20 16:25:20,50.8,109.22,30.48
2019-12-20 16:50:20,50.8,109.22,30.48
2019-12-20 17:25:20,50.8,109.22,30.48
2019-12-20 17:50:20,50.8,109.22,30.48
2019-12-20 18:25:20,50.8,109.22,30.48
2019-12-20 18:50:20,50.8,109.22,30.48
2019-12-20 19:25:20,50.8,109.22,30.48
2019-12-20 19:50:20,50.8,109.22,30.48
2019-12-20 20:25:19,50.8,109.22,30.48
2019-12-20 20:50:20,50.8,109.22,30.48
2019-12-20 21:25:20,50.8,109.22,30.48
2019-12-20 21:50:20,50.8,109.22,30.48
2019-12-20 22:25:20,50.8,109.22,30.48
2019-12-20 22:50:19,50.8,109.22,30.48
2019-12-20 23:25:19,50.8,109.22,30.48
2019-12-20 23:50:19,50.8,109.22,30.48
2019-12-21 00:25:19,50.8,109.22,30.48
2019-12-21 00:50:20,50.8,109.22,30.48
2019-12-21 01:25:19,50.8,109.22,30.48
2019-12-21 01:50:20,50.8,109.22,30.48
2019-12-21 02:25:20,50.8,109.22,30.48
2019-12-21 02:50:20,50.8,109.22,30.48
2019-12-21 03:25:20,50.8,109.22,30.48
2019-12-21 03:50:20,50.8,109.22,30.48
2019-12-21 04:25:19,50.8,109.22,30.48
2019-12-21 04:50:20,50.8,109.22,30.48
2019-12-21 05:25:20,50.8,109.22,30.48
2019-12-21 05:50:19,50.8,109.22,30.48
2019-12-21 06:25:20,45.72,111.76,10.16
2019-12-21 06:50:20,45.72,111.76,10.16
2019-12-21 07:25:20,45.72,111.76,10.16
2019-12-21 07:50:19,45.72,109.22,12.7
2019-12-21 08:25:20,45.72,109.22,12.7
2019-12-21 08:50:20,45.72,109.22,12.7
2019-12-21 09:25:20,45.72,109.22,12.7
2019-12-21 09:50:20,45.72,109.22,12.7
2019-12-21 10:25:20,45.72,109.22,12.7
2019-12-21 10:50:19,45.72,109.22,12.7
2019-12-21 11:25:20,45.72,109.22,12.7
2019-12-21 11:50:20,45.72,109.22,12.7
2019-12-21 12:25:20,45.72,109.22,12.7
2019-12-21 12:50:20,45.72,109.22,12.7
2019-12-21 13:25:19,45.72,109.22,12.7
2019-12-21 13:50:20,45.72,109.22,12.7
2019-12-21 14:25:20,45.72,109.22,12.7
2019-12-21 14:50:19,45.72,109.22,12.7
2019-12-21 15:25:20,45.72,109.22,12.7
2019-12-21 15:50:20,35.56,109.22,7.62
2019-12-21 16:25:20,35.56,109.22,7.62
2019-12-21 16:50:20,35.56,109.22,7.62
2019-12-21 17:25:20,35.56,109.22,7.62
2019-12-21 17:50:20,35.56,109.22,7.62
2019-12-21 18:25:20,35.56,109.22,7.62
2019-12-21 18:50:19,35.56,109.22,7.62
2019-12-21 19:25:20,35.56,109.22,7.62
2019-12-21 19:50:20,35.56,109.22,7.62
2019-12-21 20:25:20,35.56,109.22,7.62
2019-12-21 20:50:20,35.56,109.22,7.62
2019-12-21 21:25:20,35.56,109.22,7.62
2019-12-21 21:50:20,35.56,109.22,7.62
2019-12-21 22:25:20,35.56,109.22,7.62
2019-12-21 22:50:20,35.56,109.22,7.62
2019-12-21 23:25:20,35.56,109.22,7.62
2019-12-21 23:50:20,35.56,109.22,7.62
2019-12-22 00:25:20,35.56,109.22,7.62
2019-12-22 00:50:20,35.56,109.22,7.62
2019-12-22 01:25:20,35.56,109.22,7.62
2019-12-22 01:50:51,35.56,109.22,7.62
2019-12-22 03:54:40,35.56,109.22,7.62
2019-12-22 04:25:20,35.56,109.22,7.62
2019-12-22 04:50:20,35.56,109.22,7.62
2019-12-22 05:25:19,35.56,109.22,7.62
2019-12-22 05:50:19,12.7,109.22,0.0
2019-12-22 06:25:20,12.7,109.22,0.0
2019-12-22 06:50:20,12.7,109.22,0.0
2019-12-22 07:25:20,12.7,109.22,0.0
2019-12-22 07:50:20,12.7,109.22,0.0
2019-12-22 08:25:20,12.7,109.22,0.0
2019-12-22 08:50:20,12.7,109.22,0.0
2019-12-22 09:25:20,12.7,109.22,0.0
2019-12-22 09:50:19,12.7,109.22,0.0
2019-12-22 10:25:20,12.7,109.22,0.0
2019-12-22 10:50:20,12.7,109.22,0.0
2019-12-22 11:25:20,12.7,109.22,0.0
2019-12-22 11:50:20,12.7,109.22,0.0
2019-12-22 12:25:19,12.7,109.22,0.0
2019-12-22 12:50:20,12.7,109.22,0.0
2019-12-22 13:25:20,12.7,109.22,0.0
2019-12-22 13:50:20,12.7,109.22,0.0
2019-12-22 14:25:20,12.7,109.22,0.0
2019-12-22 14:50:20,12.7,109.22,0.0
2019-12-22 15:25:20,12.7,109.22,0.0
2019-12-22 15:50:20,7.62,104.14,0.0
2019-12-22 16:25:20,7.62,104.14,0.0
2019-12-22 16:50:20,7.62,104.14,0.0
2019-12-22 17:25:20,7.62,104.14,0.0
2019-12-22 17:50:20,7.62,104.14,0.0
2019-12-22 18:25:20,7.62,104.14,0.0
2019-12-22 18:50:20,7.62,104.14,0.0
2019-12-22 19:25:19,7.62,104.14,0.0
2019-12-22 19:50:20,7.62,104.14,0.0
2019-12-22 20:25:20,7.62,104.14,0.0
2019-12-22 20:50:20,7.62,104.14,0.0
2019-12-22 21:25:20,7.62,104.14,0.0
2019-12-22 21:50:20,7.62,104.14,0.0
2019-12-22 22:25:20,7.62,104.14,0.0
2019-12-22 22:50:20,7.62,104.14,0.0
2019-12-22 23:25:20,7.62,104.14,0.0
2019-12-22 23:50:20,7.62,104.14,0.0
2019-12-23 00:25:20,7.62,104.14,0.0
2019-12-23 00:50:20,7.62,104.14,0.0
2019-12-23 01:25:20,7.62,104.14,0.0
2019-12-23 01:50:20,7.62,104.14,0.0
2019-12-23 02:25:19,7.62,104.14,0.0
2019-12-23 02:50:20,7.62,104.14,0.0
2019-12-23 03:25:20,7.62,104.14,0.0
2019-12-23 03:50:20,7.62,104.14,0.0
2019-12-23 04:25:19,7.62,104.14,0.0
2019-12-23 04:50:20,7.62,104.14,0.0
2019-12-23 05:25:20,7.62,104.14,0.0
2019-12-23 05:50:20,0.0,104.14,0.0
2019-12-23 06:25:20,0.0,104.14,0.0
2019-12-23 06:50:19,0.0,104.14,0.0
2019-12-23 07:25:20,0.0,104.14,0.0
2019-12-23 07:50:20,0.0,99.06,0.0
2019-12-23 08:25:20,0.0,99.06,0.0
