date/time,wind_dir,station,temperature,wind_spd,wind_gst
2019-12-20 14:09:41,S,peak,-5.0,36.7,37.9
2019-12-20 14:09:41,E,crystal,-3.2,3.8,6.3
2019-12-20 14:09:41,E,horstman,-6.1,27.7,34.9
2019-12-20 14:09:41,S,rhl,-4.1,16.9,31.7
2019-12-20 14:09:41,SE,rendezvous,-3.8,11.3,18.9
2019-12-20 14:09:41,NE,pig,-1.8,Max,7.1
2019-12-20 14:25:20,E,horstman,-6.1,27.7,34.9
2019-12-20 14:25:20,E,crystal,-3.2,3.8,6.3
2019-12-20 14:25:20,S,rhl,-4.1,16.9,31.7
2019-12-20 14:25:20,SE,rendezvous,-3.8,11.3,18.9
2019-12-20 14:25:20,NE,pig,-1.8,Max,7.1
2019-12-20 14:25:20,S,peak,-5.0,36.7,37.9
2019-12-20 14:50:20,NNW,pig,-1.9,0.0,6.2
2019-12-20 14:50:20,S,peak,-5.1,30.7,42.1
2019-12-20 14:50:20,E,crystal,-3.0,Max,6.3
2019-12-20 14:50:20,SSE,rhl,-4.1,18.1,19.9
2019-12-20 14:50:20,SE,rendezvous,-3.8,18.0,20.9
2019-12-20 14:50:20,SSE,horstman,-6.1,30.1,38.4
2019-12-20 15:25:20,S,peak,-5.1,25.3,33.7
2019-12-20 15:25:20,SE,rhl,-4.3,10.3,19.1
2019-12-20 15:25:20,E,crystal,-3.5,0.0,5.2
2019-12-20 15:25:20,SE,pig,-2.3,0.8,3.7
2019-12-20 15:25:20,ESE,rendezvous,-4.2,14.8,26.9
2019-12-20 15:25:20,N,horstman,-6.3,25.9,30.7
2019-12-20 15:50:20,NNE,crystal,-3.8,0.9,3.5
2019-12-20 15:50:20,NNW,pig,-2.3,0.0,3.3
2019-12-20 15:50:20,S,horstman,-6.4,16.3,28.9
2019-12-20 15:50:20,S,peak,-5.1,30.7,36.7
2019-12-20 15:50:20,SSE,rhl,-4.2,8.2,16.3
2019-12-20 15:50:20,SE,rendezvous,-4.4,14.0,19.9
2019-12-20 16:25:20,S,peak,-5.1,30.7,36.7
2019-12-20 16:25:20,SSE,rhl,-4.2,8.2,16.3
2019-12-20 16:25:20,NNW,pig,-2.3,0.0,3.3
2019-12-20 16:25:20,S,horstman,-6.4,16.3,28.9
2019-12-20 16:25:20,SE,rendezvous,-4.4,14.0,19.9
2019-12-20 16:25:20,NNE,crystal,-3.8,0.9,3.5
2019-12-20 16:50:20,S,peak,-5.2,26.0,29.6
2019-12-20 16:50:20,E,pig,-2.7,0.0,2.5
2019-12-20 16:50:20,SE,horstman,-6.3,20.5,23.5
2019-12-20 16:50:20,SE,rendezvous,-4.6,14.0,24.1
2019-12-20 16:50:20,E,rhl,-4.5,10.2,16.4
2019-12-20 16:50:20,E,crystal,-3.7,0.0,2.3
2019-12-20 17:25:20,SE,crystal,-3.9,Max,1.2
2019-12-20 17:25:20,SSE,rendezvous,-4.5,8.4,18.0
2019-12-20 17:25:20,S,horstman,-6.4,14.5,31.3
2019-12-20 17:25:20,SE,pig,-2.9,2.3,5.2
2019-12-20 17:25:20,S,rhl,-4.6,12.2,15.5
2019-12-20 17:25:20,S,peak,-5.2,30.1,33.7
2019-12-20 17:50:20,S,peak,-5.2,30.1,33.7
2019-12-20 17:50:20,S,horstman,-6.4,14.5,31.3
2019-12-20 17:50:20,SE,crystal,-3.9,Max,1.2
2019-12-20 17:50:20,SSE,rendezvous,-4.5,8.4,18.0
2019-12-20 17:50:20,S,rhl,-4.6,12.2,15.5
2019-12-20 17:50:20,SE,pig,-2.9,2.3,5.2
2019-12-20 18:25:20,NE,crystal,-4.2,0.7,1.0
2019-12-20 18:25:20,E,rendezvous,-4.6,6.0,15.9
2019-12-20 18:25:20,WNW,pig,-2.8,0.0,0.3
2019-12-20 18:25:20,S,peak,-5.4,21.8,39.8
2019-12-20 18:25:20,E,horstman,-6.2,22.3,28.3
2019-12-20 18:25:20,SSE,rhl,-4.4,6.6,17.9
2019-12-20 18:50:20,S,peak,-5.4,17.5,25.4
2019-12-20 18:50:20,NW,pig,-2.8,0.0,2.2
2019-12-20 18:50:20,SSE,rendezvous,-4.5,8.7,17.7
2019-12-20 18:50:20,S,horstman,-6.3,19.3,24.1
2019-12-20 18:50:20,ESE,rhl,-4.4,7.1,11.3
2019-12-20 18:50:20,SE,crystal,-4.0,0.5,1.5
2019-12-20 19:25:20,S,horstman,-6.3,19.3,24.1
2019-12-20 19:25:20,NW,pig,-2.8,0.0,2.2
2019-12-20 19:25:20,ESE,rhl,-4.4,7.1,11.3
2019-12-20 19:25:20,SSE,rendezvous,-4.5,8.7,17.7
2019-12-20 19:25:20,S,peak,-5.4,17.5,25.4
2019-12-20 19:25:20,SE,crystal,-4.0,0.5,1.5
2019-12-20 19:50:20,SSE,horstman,-6.2,7.9,15.7
2019-12-20 19:50:20,NNE,rhl,-4.3,2.5,7.2
2019-12-20 19:50:20,SSE,peak,-5.3,20.5,15.2
2019-12-20 19:50:20,SE,rendezvous,-4.6,4.0,12.9
2019-12-20 19:50:20,NE,crystal,-4.1,0.9,1.7
2019-12-20 19:50:20,SE,pig,-2.9,0.0,0.0
2019-12-20 20:25:19,SSE,peak,-5.2,21.8,22.4
2019-12-20 20:25:19,SE,horstman,-6.2,Max,8.5
2019-12-20 20:25:19,NE,rendezvous,-4.6,0.0,8.9
2019-12-20 20:25:19,NE,crystal,-4.0,Max,0.9
2019-12-20 20:25:19,SSW,rhl,-4.3,0.5,5.2
2019-12-20 20:25:19,SE,pig,-2.9,0.0,0.0
2019-12-20 20:50:20,N,rendezvous,-4.6,0.0,0.0
2019-12-20 20:50:20,SE,pig,-2.8,0.0,0.0
2019-12-20 20:50:20,SE,peak,-5.0,29.5,33.1
2019-12-20 20:50:20,NE,crystal,-4.1,0.8,1.4
2019-12-20 20:50:20,ESE,rhl,-4.3,3.9,2.8
2019-12-20 20:50:20,SE,horstman,-6.1,Max,9.1
2019-12-20 21:25:20,NW,pig,-3.0,0.0,1.8
2019-12-20 21:25:20,SE,peak,-4.9,15.8,32.5
2019-12-20 21:25:20,SSE,horstman,-6.0,0.0,0.4
2019-12-20 21:25:20,E,crystal,-4.3,0.7,1.0
2019-12-20 21:25:20,W,rhl,-4.3,3.9,7.7
2019-12-20 21:25:20,WSW,rendezvous,-4.3,0.0,2.0
2019-12-20 21:50:20,S,horstman,-5.9,Max,10.2
2019-12-20 21:50:20,NE,crystal,-4.1,0.0,1.4
2019-12-20 21:50:20,N,rendezvous,-4.3,0.0,4.0
2019-12-20 21:50:20,SE,peak,-4.8,21.5,22.3
2019-12-20 21:50:20,NE,pig,-2.9,0.0,0.0
2019-12-20 21:50:20,NW,rhl,-4.4,Max,7.3
2019-12-20 22:25:20,SSE,horstman,-5.9,8.4,12.0
2019-12-20 22:25:20,E,rendezvous,-4.3,Max,4.0
2019-12-20 22:25:20,NNW,pig,-2.9,0.0,0.0
2019-12-20 22:25:20,NE,crystal,-4.2,0.8,1.2
2019-12-20 22:25:20,N,rhl,-4.4,0.9,2.9
2019-12-20 22:25:20,SE,peak,-4.7,30.1,23.6
2019-12-20 22:50:19,NNW,pig,-2.9,0.0,0.0
2019-12-20 22:50:19,E,rhl,-4.4,0.9,5.2
2019-12-20 22:50:19,NE,crystal,-4.3,0.7,1.2
2019-12-20 22:50:19,NE,rendezvous,-4.5,0.0,2.9
2019-12-20 22:50:19,SSE,peak,-4.6,16.4,29.5
2019-12-20 22:50:19,SSE,horstman,-5.8,19.2,18.6
2019-12-20 23:25:19,NNW,pig,-2.9,0.0,0.0
2019-12-20 23:25:19,NE,crystal,-4.3,0.7,1.2
2019-12-20 23:25:19,SSE,horstman,-5.8,19.2,18.6
2019-12-20 23:25:19,SSE,peak,-4.6,16.4,29.5
2019-12-20 23:25:19,E,rhl,-4.4,0.9,5.2
2019-12-20 23:25:19,NE,rendezvous,-4.5,0.0,2.9
2019-12-20 23:50:19,SSE,horstman,-5.8,19.2,18.6
2019-12-20 23:50:19,NNW,pig,-2.9,0.0,0.0
2019-12-20 23:50:19,NE,rendezvous,-4.5,0.0,2.9
2019-12-20 23:50:19,NE,crystal,-4.3,0.7,1.2
2019-12-20 23:50:19,E,rhl,-4.4,0.9,5.2
2019-12-20 23:50:19,SSE,peak,-4.6,16.4,29.5
2019-12-21 00:25:19,NNW,pig,-2.9,0.0,0.0
2019-12-21 00:25:19,NE,crystal,-4.3,0.7,1.2
2019-12-21 00:25:19,NE,rendezvous,-4.5,0.0,2.9
2019-12-21 00:25:19,SSE,peak,-4.6,16.4,29.5
2019-12-21 00:25:19,SSE,horstman,-5.8,19.2,18.6
2019-12-21 00:25:19,E,rhl,-4.4,0.9,5.2
2019-12-21 00:50:20,SW,peak,-4.5,7.4,6.8
2019-12-21 00:50:20,NNW,pig,-3.0,0.0,0.0
2019-12-21 00:50:20,WSW,rendezvous,-4.3,0.0,0.0
2019-12-21 00:50:20,ESE,crystal,-4.2,0.0,0.0
2019-12-21 00:50:20,S,horstman,-5.7,18.0,19.3
2019-12-21 00:50:20,SE,rhl,-4.4,2.6,6.1
2019-12-21 01:25:19,SW,peak,-4.9,6.2,9.8
2019-12-21 01:25:19,SSE,pig,-3.0,0.0,0.0
2019-12-21 01:25:19,SE,rendezvous,-4.3,3.7,0.0
2019-12-21 01:25:19,E,crystal,-4.2,0.0,0.0
2019-12-21 01:25:19,N,horstman,-5.9,16.9,19.9
2019-12-21 01:25:19,ESE,rhl,-4.3,2.5,1.6
2019-12-21 01:50:20,NE,rhl,-4.2,Max,3.8
2019-12-21 01:50:20,E,crystal,-4.1,Max,0.0
2019-12-21 01:50:20,WSW,peak,-5.1,4.4,8.0
2019-12-21 01:50:20,S,horstman,-6.0,13.3,17.5
2019-12-21 01:50:20,SE,pig,-3.0,0.0,0.0
2019-12-21 01:50:20,SE,rendezvous,-4.4,8.9,11.9
2019-12-21 02:25:20,S,horstman,-6.0,13.3,17.5
2019-12-21 02:25:20,E,crystal,-4.1,Max,0.0
2019-12-21 02:25:20,NE,rhl,-4.2,Max,3.8
2019-12-21 02:25:20,SE,rendezvous,-4.4,8.9,11.9
2019-12-21 02:25:20,WSW,peak,-5.1,4.4,8.0
2019-12-21 02:25:20,SE,pig,-3.0,0.0,0.0
2019-12-21 02:50:20,SE,rendezvous,-4.4,11.4,13.7
2019-12-21 02:50:20,SE,pig,-3.1,0.0,0.0
2019-12-21 02:50:20,ENE,crystal,-3.8,0.4,1.8
2019-12-21 02:50:20,SSE,horstman,-6.0,18.7,19.9
2019-12-21 02:50:20,ENE,rhl,-4.2,3.6,3.8
2019-12-21 02:50:20,SW,peak,-5.4,12.2,23.6
2019-12-21 03:25:20,SW,peak,-5.4,12.2,23.6
2019-12-21 03:25:20,SE,pig,-3.1,0.0,0.0
2019-12-21 03:25:20,ENE,rhl,-4.2,3.6,3.8
2019-12-21 03:25:20,SE,rendezvous,-4.4,11.4,13.7
2019-12-21 03:25:20,SSE,horstman,-6.0,18.7,19.9
2019-12-21 03:25:20,ENE,crystal,-3.8,0.4,1.8
2019-12-21 03:50:20,ENE,crystal,-3.8,0.4,1.8
2019-12-21 03:50:20,ENE,rhl,-4.2,3.6,3.8
2019-12-21 03:50:20,SE,rendezvous,-4.4,11.4,13.7
2019-12-21 03:50:20,SSE,horstman,-6.0,18.7,19.9
2019-12-21 03:50:20,SE,pig,-3.1,0.0,0.0
2019-12-21 03:50:20,SW,peak,-5.4,12.2,23.6
2019-12-21 04:25:19,SSW,peak,-5.6,20.6,18.2
2019-12-21 04:25:19,SW,rhl,-4.3,16.5,7.5
2019-12-21 04:25:19,E,crystal,-4.0,Max,3.3
2019-12-21 04:25:19,SE,pig,-3.1,0.0,0.0
2019-12-21 04:25:19,SSE,rendezvous,-4.5,13.4,15.4
2019-12-21 04:25:19,SSW,horstman,-6.2,21.7,23.5
2019-12-21 04:50:20,SW,peak,-5.9,21.2,24.8
2019-12-21 04:50:20,SSE,rendezvous,-4.5,7.0,20.2
2019-12-21 04:50:20,E,crystal,-3.9,2.3,4.7
2019-12-21 04:50:20,S,horstman,-6.3,21.7,25.9
